gs_name	p.val_progexh	p.val_termexh	q.val_progexh	q.val_termexh	sscore_progexh	sscore_termexh	edge_progexh	edge_termexh
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	9.999000099990002e-5	9.999000099990002e-5	8.974257853717735e-4	5.873396400197379e-4	1.419528608488054	1.6961191836326033	0.225229454187325	0.1259799517372378
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	0.12187812187812187	1.9998000199980003e-4	0.17334043908847058	0.0010103884716423464	-0.9625672888263264	-1.4325999705754389	-0.1585716428570257	-0.14148266195584303
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	0.009799020097990201	1.9998000199980003e-4	0.02815026648428597	0.0010103884716423464	-1.002930237566163	1.453588457204583	-0.25731057032162613	0.52628104556998
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	9.999000099990002e-5	9.999000099990002e-5	8.974257853717735e-4	5.873396400197379e-4	2.710364200037483	-2.1278279606277493	0.3553431912899778	-0.5010029565006647
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	9.999000099990002e-5	9.999000099990002e-5	8.974257853717735e-4	5.873396400197379e-4	2.8497257373439218	-1.818049322162229	0.3048526937445003	-0.6440381861116766
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	0.0014998500149985001	0.008799120087991202	0.006689145900224792	0.02105087504494584	-1.2218883012898403	-1.019143418042277	-0.2432837307371336	-0.19511459920814453
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	9.999000099990002e-5	3.9996000399960006e-4	8.974257853717735e-4	0.0017620189200592137	1.9083305413003637	1.2930878021695122	0.3518551886575888	0.13451513569520457
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	0.06693306693306693	0.0018998100189981002	0.11078840975748191	0.0060869744511136475	1.0634404060717029	-1.2066009870452892	0.10942547780040186	-0.2881181920900776
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN	0.3465346534653465	0.010298970102989701	0.3725763201320132	0.02400324483680664	-0.7234095040795787	0.9997766973091874	0.0642408271271373	0.16959199112396822
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	2.9997000299970003e-4	0.14985014985014986	0.0019613423273057307	0.18104804894102552	1.4017095060143823	-0.9099275687898966	0.1486272281018071	-0.2216165401071153
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	9.999000099990002e-5	0.27722772277227725	8.974257853717735e-4	0.3018794720466772	2.232218997368474	-0.8081638793810075	0.2379332054902189	-0.3068395512390604
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	0.1485148514851485	0.0018998100189981002	0.19616449761978025	0.0060869744511136475	-0.8753157954586198	-1.1839254894894755	-0.1257002397257202	-0.23594034630285515
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN	9.999000099990002e-5	9.999000099990002e-5	8.974257853717735e-4	5.873396400197379e-4	2.0838467369600817	-1.8108423981624489	0.25652055391709133	-0.2548085543666777
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP	0.08091908091908091	9.999000099990002e-5	0.12737262737262736	5.873396400197379e-4	-1.047800382381968	2.2152366998700126	0.2789050062178735	0.13182541315777319
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	9.999000099990002e-5	9.999000099990002e-5	8.974257853717735e-4	5.873396400197379e-4	2.043379185443013	-1.6617994348724299	0.18709272239403035	-0.3315237132292982
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	0.2376237623762376	9.999000099990002e-5	0.278480402784804	5.873396400197379e-4	0.8517986732323751	1.8101832372095161	0.05490108896624478	0.28963993906425073
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN	9.999000099990002e-5	9.999000099990002e-5	8.974257853717735e-4	5.873396400197379e-4	1.6443959370265002	-2.1168653077723025	0.16355644627656005	-0.14701705538617998
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP	0.37623762376237624	9.999000099990002e-5	0.39916546720751367	5.873396400197379e-4	-0.6679447961943131	1.7978216253329344	-0.2543968529314593	0.1319715801195998
