p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.841451812330436	0.686	0.011	0	progenitor	Xcl1
0	1.5062762570349284	0.852	0.035	0	progenitor	Tcf7
0	1.4438285299603748	0.411	0.042	0	progenitor	Cxcl10
0	1.4382847300355208	0.831	0.084	0	progenitor	Slamf6
0	1.4107196462628975	0.74	0.074	0	progenitor	Ms4a4c
0	1.363463891962311	0.609	0.008	0	progenitor	Id3
0	1.3573173779070609	0.76	0.366	0	progenitor	Ctla2a
0	1.1796594024361622	0.512	0.013	0	progenitor	Il7r
0	0.9218384049098323	0.677	0.105	0	progenitor	Cd9
0	0.9086275195780484	0.636	0.089	0	progenitor	Emb
0	0.8498328538416349	0.856	0.416	0	progenitor	Itgb1
0	0.8461678213903747	0.956	0.495	0	progenitor	Ltb
0	0.8461527897054189	0.496	0.082	0	progenitor	Tnfsf8
0	0.8187005969838226	1	0.996	0	progenitor	Rps20
0	0.7570924347641632	0.535	0.062	0	progenitor	Crtam
0	0.7558724189637076	0.765	0.306	0	progenitor	Traf1
0	0.7139582569994638	0.995	0.905	0	progenitor	Rpl36a
0	0.6915983511966101	0.81	0.379	0	progenitor	Cd28
0	0.6749925242579113	0.962	0.691	0	progenitor	Rpl35
0	0.6700338876764769	0.998	0.929	0	progenitor	Rps2
0	0.6544713712745827	0.569	0.187	0	progenitor	2310001H17Rik
0	0.6482849034711213	1	0.984	0	progenitor	Rpl28
0	0.6421265019436322	0.996	0.923	0	progenitor	Rps29
0	0.6394655323513687	1	0.997	0	progenitor	Rplp0
0	0.6382792156778083	1	0.994	0	progenitor	Rps18
0	0.6250887410849284	1	1	0	progenitor	Rpsa
0	0.6237241370600444	1	0.982	0	progenitor	Rpl21
0	0.6144505745403288	1	0.995	0	progenitor	Rplp1
0	0.6115267354587292	0.392	0.064	0	progenitor	Gpr183
0	0.6102146633908433	0.41	0.04	0	progenitor	Tnfrsf25
0	0.6093994729090406	0.495	0.147	0	progenitor	Icos
0	0.5993553060690417	1	0.997	0	progenitor	Rps19
0	0.5882474559039079	0.903	0.625	0	progenitor	Rps26
0	0.5852280784471455	0.927	0.572	0	progenitor	Ly6e
0	0.5830699519099354	0.999	0.947	0	progenitor	Eef1b2
0	0.5750456606412608	0.583	0.181	0	progenitor	Asap1
0	0.5677480286585559	1	0.998	0	progenitor	Rps7
0	0.5666800092168729	1	1	0	progenitor	Rpl13
0	0.5571745417431218	1	0.991	0	progenitor	Rpl10a
0	0.5511337680983877	1	1	0	progenitor	Rpl23
0	0.5508741840034337	1	0.996	0	progenitor	Rpl35a
0	0.5469094443903577	1	0.998	0	progenitor	Rpl8
0	0.5408801211472949	1	0.999	0	progenitor	Rpl18
0	0.5401442091486683	1	0.976	0	progenitor	mt-Nd4
0	0.5395513888713797	0.4	0.1	0	progenitor	Socs3
0	0.535141628450059	1	0.996	0	progenitor	Rpl12
0	0.53084712626756	1	1	0	progenitor	Rps10
0	0.524483010042323	1	0.997	0	progenitor	Rps8
0	0.5238319399524332	1	0.987	0	progenitor	Rpl41
0	0.5237654639753115	1	1	0	progenitor	Rpl32
0	0.5160257613428656	1	0.999	0	progenitor	Rps9
0	0.5120109626494944	0.99	0.894	0	progenitor	Rpl29
0	0.5089531797114515	1	0.998	0	progenitor	Rpl39
0	0.4955645300844256	1	0.996	0	progenitor	mt-Cytb
0	0.4951912114920045	1	0.986	0	progenitor	Rpl22
0	0.4951140665658369	0.999	0.957	0	progenitor	Rpl4
0	0.4937515455612007	1	0.999	0	progenitor	mt-Co1
0	0.4935872006407844	0.275	0.039	0	progenitor	Klf4
0	0.4924376928942273	0.396	0.087	0	progenitor	Sidt1
0	0.4842121047580763	1	0.995	0	progenitor	Rps21
0	0.48300136657625625	1	1	0	progenitor	Rps24
0	0.47960034435871446	1	1	0	progenitor	Rps27a
0	0.47933829298388364	0.2	0.026	0	progenitor	Tnfrsf4
0	0.4777472876740392	0.988	0.905	0	progenitor	Npm1
0	0.47691188231944626	1	0.999	0	progenitor	mt-Co3
0	0.4763883610697812	1	0.99	0	progenitor	Rpl37
0	0.46844419343581345	1	1	0	progenitor	Rps5
0	0.4665688097738263	1	1	0	progenitor	Rps16
0	0.4643082407954564	0.997	0.941	0	progenitor	Rpl22l1
0	0.46232902262157194	0.439	0.139	0	progenitor	BC021614
0	0.4554080812589052	0.998	0.96	0	progenitor	mt-Nd2
0	0.45502139630494254	1	0.997	0	progenitor	Rpl26
0	0.4544997317210302	1	0.989	0	progenitor	Rplp2
0	0.4541473199164554	0.38	0.093	0	progenitor	Satb1
0	0.45111891580045205	1	0.988	0	progenitor	Gnb2l1
